,,,,,,,,
,IndModel.adj.pvals,no.pathology.mean,pathology.mean,IndModel.FC,MixedModel.z,MixedModel.p,DEGs.Ind.Model,DEGs.Ind.Mix.models
SCAI,0.287838272,0.11645202,0.106863848,-0.123961793,-0.306274339,0.759395776,FALSE,FALSE
CACYBP,0.287941068,0.042713437,0.027410935,-0.63993845,-1.095266721,0.273399803,FALSE,FALSE
INPP5D,0.287941068,0.019794462,0.039859912,1.009841675,2.792026615,0.005237905,FALSE,FALSE
PDSS1,0.287941068,0.038905397,0.041828556,0.104517879,-1.539107768,0.123777989,FALSE,FALSE
MTERF2,0.287941068,0.037129343,0.031268293,-0.247859304,-0.976306993,0.328912356,FALSE,FALSE
EIF3J,0.287941068,0.067252212,0.053811982,-0.321654281,-1.19804178,0.230900752,FALSE,FALSE
IMP3,0.287941068,0.033079392,0.021526758,-0.619801662,-1.70905242,0.08744124,FALSE,FALSE
MAP2K7,0.287941068,0.053262609,0.045823596,-0.217032416,-0.812030161,0.416774325,FALSE,FALSE
NUP214,0.28827193,0.095014193,0.088431543,-0.103581973,-1.379159075,0.167845713,FALSE,FALSE
INTS2,0.28827193,0.060449959,0.05476222,-0.142560429,-1.604543523,0.108594299,FALSE,FALSE
GTF2H2C,0.288467908,0.06959135,0.108712706,0.643540681,2.726005608,0.006410591,FALSE,FALSE
LAMP2,0.288467908,0.178807077,0.228232284,0.352099039,2.765785093,0.005678594,FALSE,FALSE
FARSA,0.288467908,0.036160393,0.020018279,-0.853092428,-1.193987573,0.232482829,FALSE,FALSE
NCEH1,0.288745617,0.111740787,0.100919603,-0.146949459,-0.843363052,0.399025429,FALSE,FALSE
SYNJ2,0.288883391,0.018328115,0.010267635,-0.83595454,-1.520156856,0.128471558,FALSE,FALSE
CPT1A,0.288883391,0.140930691,0.128980294,-0.127835164,-0.9408179,0.346798186,FALSE,FALSE
SLCO2B1,0.288883391,0.010878907,0.005126839,-1.085392016,NA,NA,FALSE,FALSE
CCPG1,0.288883391,0.156040267,0.137356633,-0.183991787,-0.32089432,0.748290479,FALSE,FALSE
ZNF461,0.288883391,0.031228212,0.017598768,-0.827375552,-1.612234169,0.106910992,FALSE,FALSE
CACNG2,0.288883391,0.020521365,0.009364827,-1.131802385,-1.764390148,0.077666316,FALSE,FALSE
AUH,0.290024672,0.180685103,0.179033147,-0.01325085,-0.970556325,0.331769264,FALSE,FALSE
ITCH,0.290024672,0.222631189,0.212752265,-0.065481228,-0.778994117,0.43598318,FALSE,FALSE
OCRL,0.29004145,0.014085738,0.03140012,1.156534885,2.079784237,0.037545328,FALSE,FALSE
FXR1,0.291223938,0.134525145,0.168355299,0.323633267,2.382433756,0.017198626,FALSE,FALSE
ADGRG2,0.291223938,0.028643078,0.018922056,-0.598117677,-1.395508723,0.162862486,FALSE,FALSE
DDX49,0.291525103,0.030516313,0.017068395,-0.838253282,-1.532932892,0.125292391,FALSE,FALSE
SP3,0.291657932,0.108785647,0.096851349,-0.167644184,-0.472094033,0.636859671,FALSE,FALSE
ETFDH,0.291657932,0.17152307,0.170703863,-0.006906919,-0.655805106,0.511949531,FALSE,FALSE
SNX2,0.291657932,0.093068513,0.089777702,-0.05193598,-1.099808843,0.271415418,FALSE,FALSE
GLO1,0.291657932,0.085122032,0.070553234,-0.270820371,-0.853108487,0.393599145,FALSE,FALSE
MYO19,0.291657932,0.061814808,0.059098674,-0.06482673,-1.301451545,0.19310394,FALSE,FALSE
TMEM94,0.291657932,0.214965665,0.198158771,-0.117449418,-0.892570342,0.372087308,FALSE,FALSE
CEP192,0.291657932,0.156189303,0.139658066,-0.161396749,-1.211620199,0.225657799,FALSE,FALSE
ZNF69,0.291657932,0.0693802,0.051642206,-0.425973351,-1.58676561,0.11256574,FALSE,FALSE
NIT1,0.291778409,0.050301225,0.038368769,-0.390661048,-1.266264334,0.205418461,FALSE,FALSE
CLU,0.291778409,2.537430428,2.766352191,0.124616574,2.850784253,0.004361155,FALSE,FALSE
IRAK4,0.292091085,0.01933983,0.012144118,-0.671317458,-1.524939851,0.127274101,FALSE,FALSE
HMG20A,0.292091085,0.12805702,0.10320153,-0.311321982,-1.213488205,0.224943221,FALSE,FALSE
CFAP69,0.292224267,0.056720751,0.051178129,-0.148349243,-0.842306113,0.39961663,FALSE,FALSE
YARS2,0.292412922,0.055301618,0.048258517,-0.196538104,-0.904151271,0.365915195,FALSE,FALSE
RRAD,0.292412922,0.004321035,0.010515619,1.283084903,NA,NA,FALSE,FALSE
HMGN2,0.292738167,0.055740569,0.043797839,-0.347868039,-1.510905728,0.130812471,FALSE,FALSE
CPNE5,0.292738167,0.015534846,0.009723383,-0.675977629,-1.554114857,0.120157022,FALSE,FALSE
CNPY1,0.292738167,0.030608372,0.019454922,-0.653791117,-1.69314274,0.090428301,FALSE,FALSE
ADAM12,0.292738167,0.073342113,0.102664573,0.485224693,2.360256026,0.018262326,FALSE,FALSE
AKAP5,0.292738167,0.002633015,0.007619242,1.532931503,NA,NA,FALSE,FALSE
RAB34,0.292738167,0.142102201,0.136708855,-0.055822207,-0.994448562,0.320004536,FALSE,FALSE
PRR22,0.292738167,0.002814172,0.011334337,2.009917498,NA,NA,FALSE,FALSE
GALNS,0.293380361,0.020013666,0.031592049,0.658576091,2.680548972,0.007350151,FALSE,FALSE
CD99L2,0.293429281,0.08271434,0.069655751,-0.247895011,-1.766383348,0.077331557,FALSE,FALSE
TFDP1,0.293490538,0.033587654,0.033970837,0.016365753,-1.205894504,0.22785817,FALSE,FALSE
MGA,0.29372777,0.155277607,0.147782347,-0.071375847,-0.290300877,0.771586068,FALSE,FALSE
MRFAP1,0.293798973,0.0620283,0.052462791,-0.241632022,-1.188509155,0.234632875,FALSE,FALSE
NLGN4X,0.293798973,0.31104745,0.294363141,-0.079537642,-0.738665657,0.460110045,FALSE,FALSE
POP5,0.293798973,0.025519436,0.018485377,-0.465211971,-1.52269131,0.127835953,FALSE,FALSE
LPAR6,0.293798973,0.00537953,0.014005779,1.380470091,2.275189745,0.02289455,FALSE,FALSE
GDPD1,0.293798973,0.113024568,0.096770273,-0.224000563,-0.713555653,0.475501988,FALSE,FALSE
AC068533.7,0.294179254,0.020100002,0.013340956,-0.591333657,-1.089756848,0.275820267,FALSE,FALSE
NT5M,0.294199109,0.045530504,0.029790461,-0.611982988,-1.080807555,0.279782727,FALSE,FALSE
SPRTN,0.294306951,0.01617276,0.01138345,-0.506628102,-0.845441423,0.397864425,FALSE,FALSE
SACM1L,0.294306951,0.067822749,0.049675989,-0.44922059,-1.339702434,0.180342106,FALSE,FALSE
ATP11A,0.294306951,0.090277715,0.084684478,-0.092272339,-1.729065977,0.083797288,FALSE,FALSE
PIGN,0.294306951,0.14662493,0.123297791,-0.249983467,-0.431157371,0.666353948,FALSE,FALSE
SYNDIG1,0.294306951,0.019824811,0.018164134,-0.126214573,-0.718554393,0.472415523,FALSE,FALSE
C6,0.29438124,0.015763929,0.029850792,0.921142046,2.937149516,0.003312444,FALSE,FALSE
VMP1,0.29438124,0.12626453,0.121522687,-0.055223736,-0.501820736,0.615793625,FALSE,FALSE
ZCCHC17,0.294544997,0.062999952,0.050030101,-0.332554357,-0.704423668,0.481168971,FALSE,FALSE
RP11-145E5.5,0.294544997,0.004875454,0.008280149,0.7641201,NA,NA,FALSE,FALSE
PDE2A,0.294544997,0.01326955,0.009236481,-0.522704298,-1.639608533,0.101086588,FALSE,FALSE
ZNF317,0.294544997,0.00584139,0.018186425,1.638478306,2.309069564,0.020939721,FALSE,FALSE
IFFO2,0.294855415,0.041889803,0.025655288,-0.707342884,-1.592041615,0.111375354,FALSE,FALSE
TATDN1,0.294855415,0.070588173,0.057993911,-0.283525045,-1.204569078,0.2283697,FALSE,FALSE
TGDS,0.294855415,0.01392999,0.009894349,-0.493517484,-1.824355107,0.068098404,FALSE,FALSE
PECR,0.295356724,0.016063687,0.011062171,-0.538168505,-0.752644924,0.451663314,FALSE,FALSE
COL25A1,0.295356724,0.037946653,0.022314501,-0.765991065,-1.137763394,0.255219294,FALSE,FALSE
FAM198B,0.295356724,0.07073935,0.093041842,0.395366699,2.710423347,0.006719738,FALSE,FALSE
LHFPL2,0.295356724,0.050630768,0.079873189,0.65769695,2.266563575,0.023416899,FALSE,FALSE
ACOT13,0.295356724,0.052380797,0.039819934,-0.395547171,-1.07212663,0.283663159,FALSE,FALSE
NALCN,0.295356724,0.213774303,0.199463462,-0.099963948,-0.329473532,0.741797797,FALSE,FALSE
PIK3R1,0.295432525,0.305215906,0.27564663,-0.147010188,-0.532272249,0.594537449,FALSE,FALSE
LGR6,0.295642812,0.004166034,0.017696695,2.086733527,NA,NA,FALSE,FALSE
ILKAP,0.295947529,0.121100256,0.108934376,-0.152742621,-0.819323811,0.412601691,FALSE,FALSE
RP11-977G19.10,0.295947529,0.026839594,0.024978661,-0.10366667,-1.28497928,0.198799525,FALSE,FALSE
FBXW7,0.296039856,0.177638046,0.147889374,-0.264422209,-1.011214103,0.311913967,FALSE,FALSE
ITSN2,0.296109045,0.210014995,0.199576592,-0.073549819,-0.54656858,0.58467516,FALSE,FALSE
SPG11,0.296109045,0.185920203,0.183142834,-0.021714297,-0.738181935,0.460403899,FALSE,FALSE
AGAP1,0.296814392,0.364802262,0.347044159,-0.07199543,-1.289032888,0.197386653,FALSE,FALSE
C8orf34,0.296814392,0.058905706,0.061069528,0.052045317,-0.23031215,0.81784922,FALSE,FALSE
NPAT,0.296814392,0.035166184,0.023972953,-0.552781166,-1.504613657,0.132423433,FALSE,FALSE
PDPR,0.296814392,0.10462757,0.104820799,0.002661948,-0.714157059,0.475130066,FALSE,FALSE
ISOC2,0.296814392,0.026309353,0.021961283,-0.260613418,-1.902655135,0.05708556,FALSE,FALSE
MYO18A,0.296843886,0.045713311,0.048192197,0.076185265,-1.404301525,0.16022908,FALSE,FALSE
DSCAML1,0.297334454,0.038418377,0.026513107,-0.535090853,-1.81435135,0.069623651,FALSE,FALSE
SPR,0.297417112,0.004069211,0.010534116,1.372248217,NA,NA,FALSE,FALSE
AP3M2,0.297417112,0.046327409,0.033790219,-0.455260313,-0.808764254,0.418650761,FALSE,FALSE
FAM49B,0.297417112,0.08288949,0.070523452,-0.233086103,-0.760858034,0.446741867,FALSE,FALSE
IRF7,0.297417112,0.021905808,0.028467651,0.378010014,1.48817426,0.136704943,FALSE,FALSE
CCDC84,0.297417112,0.075811498,0.071544308,-0.08357968,-0.727599954,0.466858509,FALSE,FALSE
ZNF114,0.297417112,0.016190544,0.013158941,-0.299108058,-1.155664348,0.247818476,FALSE,FALSE
ARID1A,0.297678662,0.384019749,0.375501415,-0.032362162,-1.176159894,0.239530988,FALSE,FALSE
IMMT,0.297678662,0.058627467,0.054762411,-0.09839078,-0.685186151,0.493226462,FALSE,FALSE
TCF24,0.297678662,0.006653828,0.011402576,0.777103165,2.030881096,0.042267058,FALSE,FALSE
PPP2R5B,0.297678662,0.053308665,0.046430154,-0.19930799,-0.887352975,0.374888893,FALSE,FALSE
RP11-529K1.3,0.297678662,0.004249941,0.010826445,1.349044909,NA,NA,FALSE,FALSE
OTUD3,0.297787141,0.036815072,0.023513514,-0.646806354,-1.204157449,0.228528729,FALSE,FALSE
RPS3,0.297813274,0.072080418,0.066087676,-0.125226125,-0.735771671,0.461869664,FALSE,FALSE
WNT8A,0.297967113,0.005489618,0.00139443,-1.977029812,NA,NA,FALSE,FALSE
MAPRE3,0.298647623,0.075100262,0.095105437,0.340709866,2.568065292,0.010226789,FALSE,FALSE
GBAS,0.298647623,0.233644938,0.222642395,-0.069589443,-0.865893806,0.3865484,FALSE,FALSE
ALAD,0.298647623,0.080610509,0.074714898,-0.109571994,-0.833650855,0.404477759,FALSE,FALSE
DHCR7,0.298647623,0.024943906,0.021237391,-0.232080827,-1.210892075,0.22593677,FALSE,FALSE
ANAPC15,0.298647623,0.018048963,0.012315128,-0.551484336,-0.945068986,0.344623658,FALSE,FALSE
PHF5A,0.298647623,0.02041303,0.011680738,-0.805358967,-1.563717882,0.117883836,FALSE,FALSE
CA14,0.298663942,0.010873093,0.001490739,-2.866662475,NA,NA,FALSE,FALSE
STAG3,0.298710928,0.034987528,0.025081301,-0.480228579,-0.880149952,0.378778082,FALSE,FALSE
XKRX,0.298710928,0.00987634,0.004459319,-1.147153044,NA,NA,FALSE,FALSE
OARD1,0.298846183,0.073679109,0.063799468,-0.207711222,-0.921603586,0.356735388,FALSE,FALSE
TEAD4,0.298846183,0.005736937,0.001709157,-1.746995309,NA,NA,FALSE,FALSE
STK36,0.299046085,0.023276295,0.043585393,0.904983293,1.980255247,0.047674855,FALSE,FALSE
BARX2,0.299046085,0.004628362,0.001729477,-1.420166033,NA,NA,FALSE,FALSE
CTU1,0.299146115,0.005140082,0.002052382,-1.324492206,NA,NA,FALSE,FALSE
TUBA8,0.299279579,0.010353251,0.006970646,-0.570719536,NA,NA,FALSE,FALSE
CLNS1A,0.299417286,0.100013488,0.082925899,-0.27029993,-0.833158647,0.404755261,FALSE,FALSE
KIAA0319,0.29962018,0.337411262,0.297629758,-0.180989351,-0.339010035,0.73460217,FALSE,FALSE
ZNF233,0.29962018,0.004864414,0.002184777,-1.15477972,NA,NA,FALSE,FALSE
FAM110B,0.299659358,0.081981689,0.079494558,-0.0444456,-0.604186403,0.54571972,FALSE,FALSE
MLC1,0.300003487,0.440983456,0.511553953,0.214161877,2.722183768,0.006485207,FALSE,FALSE
MOSPD2,0.300165884,0.034715591,0.023302947,-0.575071335,-0.775099448,0.438280898,FALSE,FALSE
ZNF256,0.300165884,0.005262662,0.002301872,-1.192984947,NA,NA,FALSE,FALSE
RP11-176H8.1,0.300231863,0.034507412,0.023151318,-0.575811967,-1.756668256,0.078974371,FALSE,FALSE
CACHD1,0.300280579,0.686024782,0.636162836,-0.1088646,0.103544058,0.917531184,FALSE,FALSE
SLC7A14,0.300280579,0.009349707,0.004502765,-1.054109918,NA,NA,FALSE,FALSE
ACAP2,0.300280579,0.444046643,0.422344219,-0.072291921,-1.241509844,0.214417464,FALSE,FALSE
MBNL3,0.300280579,0.030990818,0.024130232,-0.360999011,-0.991496257,0.321443319,FALSE,FALSE
TACC1,0.300280579,0.264716633,0.248606578,-0.090584382,-0.974500765,0.32980796,FALSE,FALSE
MSANTD4,0.300280579,0.063225078,0.054681298,-0.209449412,-0.976891037,0.3286231,FALSE,FALSE
CREM,0.300280579,0.094309821,0.087053425,-0.115506952,-1.673296992,0.094268844,FALSE,FALSE
FZD8,0.300280579,0.039287559,0.059126445,0.589731006,2.930158475,0.003387892,FALSE,FALSE
NSMCE4A,0.300280579,0.024651816,0.033224119,0.430537012,2.268800385,0.023280468,FALSE,FALSE
TMEM5,0.300280579,0.030276454,0.027198271,-0.154681294,-0.951519047,0.341340954,FALSE,FALSE
CHGA,0.300280579,0.034366744,0.026359126,-0.382710633,-1.438999617,0.150150631,FALSE,FALSE
HP,0.300280579,0.008931324,0.002875018,-1.63530291,NA,NA,FALSE,FALSE
IMPA2,0.300280579,0.046400243,0.037173254,-0.319867401,-1.418687048,0.155990275,FALSE,FALSE
FHOD3,0.300280579,0.22072999,0.209609818,-0.074576363,-0.248752658,0.803552114,FALSE,FALSE
RGL3,0.300280579,0.116028088,0.113098518,-0.036894076,-0.78280575,0.43374119,FALSE,FALSE
ZNF404,0.300280579,0.050130441,0.035354504,-0.503792889,-1.498935201,0.133890443,FALSE,FALSE
SLC8A2,0.300280579,0.008910061,0.004914582,-0.858366474,NA,NA,FALSE,FALSE
COL6A2,0.300280579,0.010112816,0.024859004,1.297583774,2.799348156,0.005120589,FALSE,FALSE
SARS,0.30037084,0.047270602,0.03906621,-0.27502193,-1.514020599,0.130020615,FALSE,FALSE
AKAP7,0.30037084,0.194993166,0.190425055,-0.034200253,-1.372174387,0.170009157,FALSE,FALSE
SEMA3C,0.30037084,0.009675979,0.004359561,-1.150224741,NA,NA,FALSE,FALSE
GALNT11,0.30037084,0.111917373,0.09384561,-0.254072845,-1.181070969,0.237574532,FALSE,FALSE
CA3,0.30037084,0.029354372,0.039068628,0.412435171,1.939819411,0.052401641,FALSE,FALSE
NAA35,0.30037084,0.144773353,0.134211334,-0.109289573,-0.986557039,0.32385984,FALSE,FALSE
LDB3,0.30037084,0.010573621,0.004538678,-1.220125529,NA,NA,FALSE,FALSE
SFR1,0.30037084,0.00703279,0.003707343,-0.923711703,NA,NA,FALSE,FALSE
ATP10A,0.30037084,0.009236762,0.003524342,-1.390033181,NA,NA,FALSE,FALSE
CCL2,0.30037084,0.017014813,0.03043521,0.838950017,3.130512963,0.001745013,FALSE,FALSE
EFCAB13,0.30037084,0.011414082,0.019345853,0.761209484,2.808361661,0.004979427,FALSE,FALSE
DESI1,0.30037084,0.036648889,0.025316396,-0.533697433,-1.728926101,0.083822322,FALSE,FALSE
CSGALNACT1,0.300548193,1.144465031,1.108628525,-0.045897349,-1.409472145,0.158695604,FALSE,FALSE
TMEM160,0.300581838,0.049599176,0.041255466,-0.265730876,-1.007209135,0.313834284,FALSE,FALSE
LUZP1,0.300597143,0.209418115,0.204753069,-0.032501168,-0.14737663,0.882834751,FALSE,FALSE
RLF,0.301048944,0.160435237,0.151007988,-0.087366175,-0.492147976,0.622614739,FALSE,FALSE
PPP4R3B,0.301048944,0.091051307,0.084056308,-0.115323635,-1.013668634,0.310740896,FALSE,FALSE
C2orf68,0.302631357,0.038424921,0.026833554,-0.518004123,-1.113293942,0.265582207,FALSE,FALSE
NDUFB6,0.302631357,0.065859389,0.060322916,-0.126682955,0.038651009,0.969168633,FALSE,FALSE
ABCC10,0.302790447,0.026019556,0.045268644,0.798915768,2.764792947,0.005695894,FALSE,FALSE
UTP18,0.302790447,0.042672725,0.035037643,-0.284408494,-1.188416697,0.234669281,FALSE,FALSE
PSMA7,0.303361982,0.066253841,0.084162485,0.345173199,3.028371184,0.002458759,FALSE,FALSE
TSPEAR,0.30336592,0.002363676,0.0053427,1.176536763,NA,NA,FALSE,FALSE
TSHR,0.303697693,0.030793414,0.024208118,-0.347130935,-0.508571945,0.611052298,FALSE,FALSE
RPS16,0.304065556,0.092571213,0.073284998,-0.337045727,-1.355848188,0.175147476,FALSE,FALSE
ERCC6L2,0.304088903,0.202977971,0.181688267,-0.159857906,-0.30821066,0.757922041,FALSE,FALSE
PBXIP1,0.304105051,0.292438592,0.346975482,0.246700013,2.925574827,0.003438205,FALSE,FALSE
FBXW12,0.304105051,0.004245971,0.007408184,0.803025182,NA,NA,FALSE,FALSE
DHX36,0.304105051,0.140799653,0.143084381,0.023222413,-0.765227185,0.444136275,FALSE,FALSE
IQCD,0.304105051,0.016873407,0.009021853,-0.903255672,-1.315669691,0.188284931,FALSE,FALSE
P2RX4,0.304105051,0.029912352,0.026646783,-0.166779997,-1.079721791,0.280266087,FALSE,FALSE
MYSM1,0.304282732,0.088512497,0.070524064,-0.327765544,-1.378165121,0.168152313,FALSE,FALSE
SCNM1,0.304335422,0.056677132,0.049674236,-0.190268971,-0.88107605,0.378276659,FALSE,FALSE
SKP1,0.304335422,0.132548333,0.109098357,-0.280889157,-0.821267024,0.411494187,FALSE,FALSE
ALAS1,0.304440605,0.014516154,0.007112194,-1.029292718,-1.694550199,0.090160781,FALSE,FALSE
VDAC1,0.304440605,0.055028993,0.051784182,-0.087680447,-0.905842641,0.365019148,FALSE,FALSE
RSU1,0.304440605,0.113394505,0.073336242,-0.628752494,-1.602902551,0.10895617,FALSE,FALSE
PPIF,0.304440605,0.019675502,0.017120528,-0.200673203,-1.158631954,0.246606238,FALSE,FALSE
CCT8,0.304440605,0.029044157,0.04325289,0.57454857,2.243401605,0.024870929,FALSE,FALSE
SPEG,0.304684969,0.056025172,0.079799305,0.510301013,2.546226185,0.01088946,FALSE,FALSE
CDC34,0.304689902,0.031003684,0.045833235,0.563954484,2.141233752,0.032255193,FALSE,FALSE
MRPL9,0.304717168,0.022983217,0.015047777,-0.611030407,-1.619998955,0.105232501,FALSE,FALSE
MTERF1,0.304717168,0.150534334,0.132220217,-0.187149787,-1.069606461,0.284796486,FALSE,FALSE
SETX,0.305243762,0.18656169,0.173824528,-0.102021095,-1.029290247,0.303343305,FALSE,FALSE
GAB2,0.305389855,0.124735775,0.160834125,0.366698244,2.40541279,0.016154207,FALSE,FALSE
RPS15,0.30543335,0.18641209,0.180348961,-0.047704315,-0.516817566,0.605283516,FALSE,FALSE
SMARCB1,0.30543335,0.065457162,0.056389904,-0.215114186,-1.725076221,0.084513737,FALSE,FALSE
POMT1,0.306035526,0.077515947,0.060156535,-0.365771673,-0.708568224,0.478592461,FALSE,FALSE
WASF2,0.306220585,0.232223183,0.208269131,-0.157062978,-0.948526239,0.342861621,FALSE,FALSE
TRERF1,0.306220585,0.124171147,0.119086522,-0.060319845,-0.998062907,0.318248855,FALSE,FALSE
PRIM2,0.306220585,0.074036013,0.069430314,-0.09266151,-1.399236976,0.161741932,FALSE,FALSE
DUOX1,0.306220585,0.053859187,0.039710261,-0.439680621,-0.378749408,0.70487396,FALSE,FALSE
SMYD4,0.306220585,0.038324818,0.032262295,-0.248429851,-1.236577689,0.216243907,FALSE,FALSE
SCRN2,0.306220585,0.048808581,0.045335982,-0.106478255,-0.597462058,0.550198931,FALSE,FALSE
SP2,0.306220585,0.022431935,0.0151676,-0.564561287,-1.373077816,0.169728157,FALSE,FALSE
GPANK1,0.306343727,0.040011869,0.035146387,-0.187051626,-0.65174021,0.514568778,FALSE,FALSE
DPY19L3,0.306343727,0.222770778,0.174348853,-0.353583124,-0.835891061,0.403216192,FALSE,FALSE
MAPK11,0.306343727,0.08481101,0.06927966,-0.291819699,-0.924282366,0.355339321,FALSE,FALSE
NBPF26,0.306517602,0.053040301,0.046077058,-0.203040334,-1.541158752,0.123278154,FALSE,FALSE
ATP6V0E1,0.306517602,0.139444674,0.134182834,-0.055492713,-0.177089443,0.859438134,FALSE,FALSE
ZNF287,0.306517602,0.024249466,0.014078457,-0.784463819,-1.309816654,0.190257868,FALSE,FALSE
MTHFS,0.306599736,0.004783394,0.011832896,1.306696635,2.153155016,0.031306498,FALSE,FALSE
TTC21B,0.306616907,0.098767553,0.091816501,-0.105283707,-1.214595882,0.22452026,FALSE,FALSE
PLAGL1,0.306616907,0.038616113,0.0324149,-0.252545836,-1.210526685,0.226076857,FALSE,FALSE
TRIM32,0.306616907,0.013204732,0.011271817,-0.228334959,-1.836379056,0.066301615,FALSE,FALSE
CTD-3105H18.18,0.306616907,0.042679838,0.033616714,-0.344376006,-1.186302309,0.235502935,FALSE,FALSE
HSD17B1,0.306916471,0.004661118,0.01133631,1.282203344,2.10014785,0.035715837,FALSE,FALSE
POU3F3,0.307410294,0.089159346,0.130369353,0.548146812,1.960952871,0.049884521,FALSE,FALSE
SLC25A43,0.307410294,0.153503153,0.149993895,-0.033364509,0.11050063,0.912012351,FALSE,FALSE
HACE1,0.307627058,0.103933772,0.08338299,-0.317839508,-0.60361634,0.546098747,FALSE,FALSE
ADCY8,0.307627058,0.279623772,0.343331263,0.296114216,1.884302556,0.059524062,FALSE,FALSE
MRPL39,0.307772663,0.040393744,0.033853613,-0.254822089,-1.531517204,0.125641618,FALSE,FALSE
PMPCA,0.308544304,0.039192827,0.034410393,-0.187745276,-1.457124204,0.145082098,FALSE,FALSE
FAHD1,0.308650929,0.019156351,0.013220922,-0.534999921,-1.148676027,0.250689594,FALSE,FALSE
NFKBIZ,0.308987516,0.033924365,0.025870169,-0.391032326,-1.299984696,0.193606215,FALSE,FALSE
DERL1,0.308987516,0.037801765,0.028714511,-0.396673588,-1.218197788,0.22314882,FALSE,FALSE
RPL39L,0.309568674,0.01109693,0.006981031,-0.668648671,NA,NA,FALSE,FALSE
FAM120AOS,0.309883235,0.052434613,0.046125429,-0.184957145,-1.097934523,0.272233082,FALSE,FALSE
ABCD3,0.309999886,0.117565042,0.098376685,-0.257070801,-1.14624931,0.25169201,FALSE,FALSE
PSMB6,0.310562648,0.033013525,0.025309199,-0.38339531,-0.788908214,0.430165655,FALSE,FALSE
CDK20,0.310723716,0.009400921,0.005534648,-0.764310528,NA,NA,FALSE,FALSE
PEX11A,0.310907514,0.044165488,0.037723005,-0.227474843,-1.184157593,0.236350685,FALSE,FALSE
ATAD3C,0.310933201,0.013057831,0.006025053,-1.115869507,NA,NA,FALSE,FALSE
RPUSD2,0.310964173,0.010826976,0.006824674,-0.665798167,NA,NA,FALSE,FALSE
S100A10,0.311095662,0.002927673,0.011153838,1.929713636,NA,NA,FALSE,FALSE
ACTR6,0.311095662,0.02226793,0.036704864,0.72100383,2.219307887,0.026465785,FALSE,FALSE
SRPK2,0.31170507,0.381466135,0.363686177,-0.068860896,-0.324638017,0.745455051,FALSE,FALSE
UBB,0.31170507,0.196274964,0.156434067,-0.327321433,-0.004514653,0.99639784,FALSE,FALSE
PCED1A,0.31170507,0.023937789,0.036326782,0.6017437,2.636687229,0.008371998,FALSE,FALSE
DNM2,0.311768102,0.112789579,0.0993141,-0.18356332,-1.338573276,0.180709631,FALSE,FALSE
MRPL40,0.31180833,0.022176973,0.014387149,-0.624281763,-0.763352193,0.445253383,FALSE,FALSE
ZNF383,0.311896219,0.025392581,0.015141687,-0.745881138,-1.652911699,0.098348836,FALSE,FALSE
DAPL1,0.31198375,0.008765146,0.005242109,-0.741630814,NA,NA,FALSE,FALSE
SH3BGRL3,0.312804298,0.047881776,0.040359994,-0.2465507,-1.448563911,0.147459406,FALSE,FALSE
MAP6D1,0.312804298,0.011405489,0.008746002,-0.383032709,NA,NA,FALSE,FALSE
UTP14A,0.312804298,0.024675938,0.014405856,-0.776449533,-1.315146015,0.188460834,FALSE,FALSE
HEPHL1,0.312804298,0.001727619,0.005586529,1.69316692,NA,NA,FALSE,FALSE
LRRTM3,0.312804298,0.028387113,0.016882032,-0.749747583,-1.675184318,0.093898073,FALSE,FALSE
ELK3,0.312804298,0.010262826,0.021144367,1.042845356,2.630494897,0.008526065,FALSE,FALSE
SCAF11,0.313055447,0.255868752,0.236533509,-0.113359387,-1.047018389,0.295091097,FALSE,FALSE
TRAF1,0.313195413,0.030310803,0.01630389,-0.894615824,-1.866063738,0.062032449,FALSE,FALSE
SEMA4G,0.313195413,0.022809502,0.015146266,-0.590672765,-1.473137525,0.140713957,FALSE,FALSE
GSDMB,0.313195413,0.014128955,0.016536192,0.226972247,-1.278339972,0.20112958,FALSE,FALSE
KIAA1107,0.313242298,0.074210686,0.072154178,-0.040544011,-1.275603672,0.202095655,FALSE,FALSE
KCNK1,0.313630937,0.01579244,0.012239973,-0.367633692,-1.512318434,0.130452874,FALSE,FALSE
ATXN10,0.313661059,0.33050235,0.322411302,-0.035758212,-0.589371205,0.555612289,FALSE,FALSE
RPS9,0.313947691,0.100958743,0.089849162,-0.168188899,-0.220196358,0.825718233,FALSE,FALSE
PTGIS,0.314036259,0.005850994,0.005103584,-0.1971709,NA,NA,FALSE,FALSE
ARHGAP33,0.314248364,0.02035073,0.020212356,-0.009843093,-1.425892901,0.153899259,FALSE,FALSE
KIF2A,0.31448688,0.172038032,0.210825895,0.293324543,3.534211161,0.000408994,FALSE,FALSE
C3orf33,0.315337662,0.047737296,0.039205644,-0.284055488,-1.796455673,0.072422076,FALSE,FALSE
CUTA,0.315337662,0.061008744,0.051051384,-0.25706595,-1.10251603,0.270237393,FALSE,FALSE
TESK2,0.315521536,0.244614911,0.226901886,-0.108443751,-1.044407502,0.296296894,FALSE,FALSE
CAPN7,0.315521536,0.132687349,0.122397124,-0.116461154,-1.517804932,0.129063581,FALSE,FALSE
DNHD1,0.315521536,0.132327577,0.131230842,-0.01200693,-0.423920325,0.671623921,FALSE,FALSE
PRKCQ,0.315521536,0.029187915,0.018807685,-0.634048854,-1.106294692,0.268598989,FALSE,FALSE
